Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-06,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-07,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-08,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-09,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-12,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-13,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-14,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-15,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-16,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-19,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-20,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-21,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-22,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-23,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-26,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-27,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-28,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-29,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-02,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-03,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-04,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-05,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-06,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-09,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-10,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-11,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-12,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-13,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-16,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-17,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-18,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-19,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-20,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-23,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-24,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-25,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-26,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-27,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-04-30,27.510000,27.510000,27.510000,27.510000,20.254404,700
2018-05-02,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-03,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-04,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-07,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-08,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-09,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-10,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-11,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-14,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-15,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-16,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-17,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-18,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-21,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-22,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-23,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-24,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-25,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-28,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-29,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-05-30,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-01,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-04,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-05,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-06,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-07,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-08,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-11,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-12,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-13,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-14,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-15,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-18,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-19,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-20,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-21,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-22,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-25,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-26,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-27,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-28,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-06-29,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-02,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-03,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-04,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-05,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-06,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-10,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-11,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-12,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-13,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-16,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-17,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-18,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-19,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-20,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-23,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-24,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-25,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-26,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-27,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-30,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-07-31,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-01,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-02,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-03,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-06,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-07,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-08,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-09,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-10,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-13,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-14,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-15,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-16,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-17,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-20,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-21,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-22,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-23,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-24,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-27,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-28,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-29,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-30,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-08-31,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-03,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-04,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-05,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-06,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-10,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-11,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-12,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-13,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-14,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-17,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-18,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-19,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-20,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-21,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-24,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-25,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-26,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-27,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-09-28,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-01,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-02,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-03,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-04,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-05,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-08,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-09,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-10,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-11,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-15,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-16,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-17,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-18,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-19,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-22,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-23,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-24,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-25,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-26,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-29,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-30,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-10-31,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-01,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-05,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-06,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-07,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-08,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-09,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-12,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-13,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-14,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-16,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-19,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-21,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-22,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-23,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-26,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-27,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-28,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-29,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-11-30,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-03,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-04,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-05,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-06,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-07,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-10,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-11,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-12,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-13,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-14,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-17,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-18,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-19,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-20,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-21,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-26,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-27,27.510000,27.510000,27.510000,27.510000,20.254404,0
2018-12-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-09,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-29,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-30,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-01-31,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-01,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-05,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-06,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-13,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-19,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-20,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-27,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-02-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-01,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-06,null,null,null,null,null,null
2019-03-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-13,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-19,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-20,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-27,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-03-29,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-01,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-05,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-09,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-29,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-04-30,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-06,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-09,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-13,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-20,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-27,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-29,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-30,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-05-31,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-05,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-06,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-13,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-19,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-27,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-06-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-01,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-05,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-19,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-29,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-30,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-07-31,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-01,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-05,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-06,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-09,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-13,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-19,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-20,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-27,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-29,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-08-30,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-05,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-06,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-09,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-12,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-13,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-19,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-20,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-26,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-27,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-09-30,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-01,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-02,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-03,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-04,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-07,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-08,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-09,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-10,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-11,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-14,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-15,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-16,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-17,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-18,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-21,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-22,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-23,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-24,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-25,27.510000,27.510000,27.510000,27.510000,22.632414,0
2019-10-28,27.510000,27.510000,27.510000,27.510000,22.632414,0
